Num_PEs,Pipeline,Merged_QQ,Joint_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad 2 Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Cycles,Avg_Cycles_per_Node
4,True,False,True,5000000,2,5000000,2,5000000,8,False,29814,437843,506048,506048,1577772,1556353,16711165,0.3817002103932896,18813218,342038,0.7811886909234589
4,True,False,True,5000000,2,5000000,2,5000000,16,False,29814,439583,506048,506048,1577772,1418845,15883475,0.38005552286495725,18813218,326504,0.7427584779211207
4,True,False,True,5000000,2,5000000,4,5000000,1,False,29814,400320,506048,506048,1577772,9437010,62087345,0.4451917932980404,18813218,1089547,2.7216901478816946
4,True,False,True,5000000,2,5000000,4,5000000,2,False,29814,406671,506048,506048,1577772,4411706,34516202,0.44759977645559074,18813218,602453,1.4814260175916159
4,True,False,True,5000000,2,5000000,4,5000000,4,False,29814,427658,506048,506048,1577772,2094650,19554530,0.3805155552193005,18813218,401481,0.9387898741517755
4,True,False,True,5000000,2,5000000,4,5000000,8,False,29814,440538,506048,506048,1577772,1356625,14561905,0.34337170387423527,18813218,331317,0.7520736009152446
4,True,False,True,5000000,2,5000000,4,5000000,16,False,29814,443235,506048,506048,1577772,1222868,13524948,0.33517204093867764,18813218,315252,0.7112524958543436
4,True,False,True,5000000,2,5000000,8,5000000,1,False,29814,398778,506048,506048,1577772,9382441,61730106,0.4444999586391807,18813218,1084964,2.7207218051146254
4,True,False,True,5000000,2,5000000,8,5000000,2,False,29814,406996,506048,506048,1577772,4396343,34227376,0.44429460701563167,18813218,601856,1.478776204188739
4,True,False,True,5000000,2,5000000,8,5000000,4,False,29814,427637,506048,506048,1577772,2069776,19335057,0.37764255256315704,18813218,399995,0.9353610655766457
4,True,False,True,5000000,2,5000000,8,5000000,8,False,29814,440474,506048,506048,1577772,1341335,14242973,0.33672222526932155,18813218,330460,0.7502372444230534
4,True,False,True,5000000,2,5000000,8,5000000,16,False,29814,443777,506048,506048,1577772,1192062,13132251,0.3270900234567783,18813218,313662,0.7068009383091057
4,True,False,True,5000000,2,5000000,16,5000000,1,False,29814,399414,506048,506048,1577772,9373812,61524045,0.44335207155750816,18813218,1084142,2.7143314956411144
4,True,False,True,5000000,2,5000000,16,5000000,2,False,29814,406675,506048,506048,1577772,4398671,34392861,0.44790134717100966,18813218,599896,1.4751238704124916
4,True,False,True,5000000,2,5000000,16,5000000,4,False,29814,427970,506048,506048,1577772,2059508,19156448,0.3746551594652781,18813218,399460,0.9333831810640932
4,True,False,True,5000000,2,5000000,16,5000000,8,False,29814,440981,506048,506048,1577772,1319772,13995705,0.33193721179008145,18813218,329404,0.746980028618013
4,True,False,True,5000000,2,5000000,16,5000000,16,False,29814,444173,506048,506048,1577772,1166604,12800127,0.3200574567446639,18813218,312447,0.7034353731541539
4,True,False,True,5000000,4,5000000,1,5000000,1,False,29814,401081,506048,506048,1577772,9764644,66551707,0.4735452933637108,18813218,1097963,2.737509380898123
4,True,False,True,5000000,4,5000000,1,5000000,2,False,29814,411158,506048,506048,1577772,5088504,41723800,0.5177698511658937,18813218,629560,1.531187524017531
4,True,False,True,5000000,4,5000000,1,5000000,4,False,29814,431893,506048,506048,1577772,4054959,38285313,0.598461763412687,18813218,499788,1.1572032887775445
4,True,False,True,5000000,4,5000000,1,5000000,8,False,29814,440054,506048,506048,1577772,4240037,41321590,0.6713127890497956,18813218,480886,1.0927886123066715
4,True,False,True,5000000,4,5000000,1,5000000,16,False,29814,442000,506048,506048,1577772,4459982,43630572,0.7140020061835068,18813218,477399,1.0800882352941177
4,True,False,True,5000000,4,5000000,2,5000000,1,False,29814,399165,506048,506048,1577772,9396973,61646302,0.4444035986725427,18813218,1083726,2.714982526023073
4,True,False,True,5000000,4,5000000,2,5000000,2,False,29814,406742,506048,506048,1577772,4381616,34058690,0.44281199814443456,18813218,600895,1.477336985115872
4,True,False,True,5000000,4,5000000,2,5000000,4,False,29814,427205,506048,506048,1577772,2064655,19276534,0.37680472657510805,18813218,399671,0.9355485071569856
4,True,False,True,5000000,4,5000000,2,5000000,8,False,29814,440185,506048,506048,1577772,1331772,14160576,0.3349790164053558,18813218,330258,0.750270908822427
