NumPEs,Pipeline,Merged_QQ,Joint Scratchpad,Scratchpad_0_Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
16,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1631855,2023529,2023529,6309095,4091833,52724242,0.342025492082669,75228335,301080,0.184501686730745
16,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1759526,2023529,2023529,6309095,2276489,29346744,0.206318132610785,75228335,277813,0.157890818322662
32,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1521560,2023529,2023529,6309095,2221959171,27193383844,3.58173051848916,75228335,7414304,4.87283051604932
32,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1119863,2023529,2023529,6309095,392899368,4195438499,1.68298724593793,75228335,2434426,2.17386055258545
32,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,1005886,2023529,2023529,6309095,159750831,1726075938,1.64971498652148,75228335,1021765,1.01578608311479
32,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,978719,2023529,2023529,6309095,50522455,532109697,1.24149966665606,75228335,418557,0.427657989678345
32,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1145027,2023529,2023529,6309095,20767227,234494787,0.912949661647494,75228335,250834,0.219063829935888
32,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1391963,2023529,2023529,6309095,7960644,99469825,0.564807983118077,75228335,171985,0.123555726696758
32,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1613064,2023529,2023529,6309095,3738641,48287856,0.317389260474508,75228335,148575,0.092107318742468
64,True,True,False,5000000,1,NA,NA,NA,NA,False,119254,1517858,2023529,2023529,6309095,4088759309,36209079963,2.39171918225891,75228335,7392262,4.87019339094961
64,True,True,False,5000000,2,NA,NA,NA,NA,False,119254,1117627,2023529,2023529,6309095,876082604,8632386814,1.73895877978576,75228335,2423883,2.16877634488072
64,True,True,False,5000000,4,NA,NA,NA,NA,False,119254,995583,2023529,2023529,6309095,281162007,2693019382,1.305102566153,75228335,1007546,1.01201607500329
64,True,True,False,5000000,8,NA,NA,NA,NA,False,119254,950374,2023529,2023529,6309095,95744486,827868513,1.00166188185033,75228335,403562,0.424634933194721
64,True,True,False,5000000,16,NA,NA,NA,NA,False,119254,1050816,2023529,2023529,6309095,46490770,440616819,0.974648711169849,75228335,220741,0.210066272306474
64,True,True,False,5000000,32,NA,NA,NA,NA,False,119254,1136433,2023529,2023529,6309095,16758379,196070089,0.857032156555764,75228335,111708,0.098297039948682
64,True,True,False,5000000,64,NA,NA,NA,NA,False,119254,1367229,2023529,2023529,6309095,7336706,91781637,0.525938885593314,75228335,85210,0.062323136797128
1,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,912439,1011909,1011909,3154983,10235569,54208782,0.314664050355181,37619517,5383597,5.90022675488444
1,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,906062,1011909,1011909,3154983,4528901,26589212,0.232086186183921,37619517,3580191,3.95137529219855
1,True,True,False,5000000,4,NA,NA,NA,NA,False,59628,921569,1011909,1011909,3154983,1939445,13180681,0.152626817300085,37619517,2698715,2.92839168852251
1,True,True,False,5000000,8,NA,NA,NA,NA,False,59628,945300,1011909,1011909,3154983,841836,6734075,0.092975963702942,37619517,2263379,2.39434994181741
1,True,True,False,5000000,16,NA,NA,NA,NA,False,59628,952046,1011909,1011909,3154983,382009,3391989,0.051396763084398,37619517,2062380,2.16626087394937
1,True,True,False,5000000,32,NA,NA,NA,NA,False,59628,952352,1011909,1011909,3154983,185416,1597290,0.02537615987872,37619517,1967016,2.06542958905951
1,True,True,False,5000000,64,NA,NA,NA,NA,False,59628,952544,1011909,1011909,3154983,113065,884947,0.014335222477835,37619517,1929136,2.02524607787147
2,True,True,False,5000000,1,NA,NA,NA,NA,False,59628,843596,1011909,1011909,3154983,20307494,129905497,0.482420325954093,37619517,4207479,4.98755209839781
2,True,True,False,5000000,2,NA,NA,NA,NA,False,59628,842505,1011909,1011909,3154983,9429283,70923911,0.457956340855284,37619517,2419851,2.87220966047679
