Num PEs,Pipeline,Merged QQ,Joint Scratchpad,Scratchpad 0 Size,Scratchpad 0 Banks,Scratchpad 1 Size,Scratchpad 1 Banks,Scratchpad 2 Size,Scratchpad 2 Banks,Ideal,Queries Processed,Nodes Visited,Point Accesses,Node Accesses,Stack Accesses,Conflicts,Stages Stalled,Percent Time Stalled,Lines Processed,Num Cycles,Average Cycles per Node Traversed
16,True,False,True,5000000,16,5000000,2,5000000,8,False,29814,362234,506048,506048,1577772,11609170,128820019,1.3553199720392965,18813218,185640,0.5124864038163176
16,True,False,True,5000000,16,5000000,2,5000000,16,False,29814,372006,506048,506048,1577772,13208915,150459845,1.559894074312327,18813218,188389,0.5064138750450261
16,True,False,True,5000000,16,5000000,4,5000000,1,False,29814,318749,506048,506048,1577772,19093853,118631934,0.44390693611185084,18813218,521963,1.6375361177603693
16,True,False,True,5000000,16,5000000,4,5000000,2,False,29814,341623,506048,506048,1577772,9899469,73546669,0.5175997589051178,18813218,277523,0.8123662633956145
16,True,False,True,5000000,16,5000000,4,5000000,4,False,29814,366765,506048,506048,1577772,5020787,44632198,0.5511998844056276,18813218,158150,0.43120254113669515
16,True,False,True,5000000,16,5000000,4,5000000,8,False,29814,373579,506048,506048,1577772,3557019,37899761,0.6545434270023698,18813218,113091,0.30272311880485786
16,True,False,True,5000000,16,5000000,4,5000000,16,False,29814,370576,506048,506048,1577772,4161973,49088631,0.8930682255474776,18813218,107356,0.28970035836103797
16,True,False,True,5000000,16,5000000,8,5000000,1,False,29814,319010,506048,506048,1577772,18867102,116567471,0.43682887583582763,18813218,521190,1.6337732359487163
16,True,False,True,5000000,16,5000000,8,5000000,2,False,29814,343883,506048,506048,1577772,9693750,70638092,0.5008913895181873,18813218,275439,0.8009671894219836
16,True,False,True,5000000,16,5000000,8,5000000,4,False,29814,371514,506048,506048,1577772,4659297,39792628,0.49951460278872173,18813218,155591,0.41880252157388415
16,True,False,True,5000000,16,5000000,8,5000000,8,False,29814,408970,506048,506048,1577772,2115154,21050858,0.40739340313558986,18813218,100922,0.24677115680856787
16,True,False,True,5000000,16,5000000,8,5000000,16,False,29814,421091,506048,506048,1577772,1296858,14823179,0.350299117756933,18813218,82648,0.19627111479466433
16,True,False,True,5000000,16,5000000,16,5000000,1,False,29814,320166,506048,506048,1577772,18766791,114305255,0.4290997579613228,18813218,520281,1.625035138022151
16,True,False,True,5000000,16,5000000,16,5000000,2,False,29814,343157,506048,506048,1577772,9655880,69987578,0.49879397292921,18813218,274050,0.7986140454660695
16,True,False,True,5000000,16,5000000,16,5000000,4,False,29814,372823,506048,506048,1577772,4604141,39006887,0.490035480847468,18813218,155469,0.4170048521684553
16,True,False,True,5000000,16,5000000,16,5000000,8,False,29814,415452,506048,506048,1577772,1970575,19005643,0.3717951190830921,18813218,99841,0.2403189778843284
16,True,False,True,5000000,16,5000000,16,5000000,16,False,29814,439756,506048,506048,1577772,999556,10969016,0.2695333632131849,18813218,79485,0.18074796023249257
1,True,True,True,5000000,1,5000000,1,5000000,1,False,29814,458693,506048,506048,1577772,1835972,8439960,0.1491417874367452,18813218,1768443,3.8553956567900536
1,True,True,True,5000000,1,5000000,1,5000000,2,False,29814,466220,506048,506048,1577772,762810,4223178,0.09934054583200351,18813218,1328504,2.8495216850413967
1,True,True,True,5000000,1,5000000,1,5000000,4,False,29814,474454,506048,506048,1577772,394883,2579690,0.07009704117984128,18813218,1150053,2.4239504778123906
1,True,True,True,5000000,1,5000000,1,5000000,8,False,29814,475928,506048,506048,1577772,257571,1750109,0.05075020368413092,18813218,1077649,2.264310988216705
1,True,True,True,5000000,1,5000000,1,5000000,16,False,29814,476148,506048,506048,1577772,207481,1427495,0.042558292095619975,18813218,1048191,2.201397464653847
1,True,True,True,5000000,1,5000000,2,5000000,1,False,29814,458522,506048,506048,1577772,1834131,8447651,0.1493351166134827,18813218,1767763,3.855350452104806
1,True,True,True,5000000,1,5000000,2,5000000,2,False,29814,466063,506048,506048,1577772,761142,4244127,0.09994850592287861,18813218,1326973,2.8471966236324273
1,True,True,True,5000000,1,5000000,2,5000000,4,False,29814,474383,506048,506048,1577772,394326,2619889,0.071254844446804,18813218,1148996,2.422085108446129
