kd_Tree_File,Query_File,Num_PEs,Pipeline,Merged_QQ,Split_Scratchpad,Scratchpad_0_Size,Scratchpad_0_Banks,Scratchpad_1_Size,Scratchpad_1_Banks,Scratchpad_2_Size,Scratchpad_2_Banks,Ideal,Queries_Processed,Nodes_Visited,Point_Accesses,Node_Accesses,Stack_Accesses,Toptree Conflicts,Subtree Conflicts,Total Conflicts,Stages_Stalled,Percent_Time_Stalled,Lines_Processed,Toptree Cycles,Subtree Cycles,Total Cycles,Avg_Cycles_per_Node,Toptree Levels,Accuracy1,Accuracy5,Accuracy6,Accuracy8,Accuracy10,New_Scheme
frame_30,frame_30_0.125,4,True,True,True,5000000,8,5000000,8,5000000,8,False,15340,123413,291460,138060,0,98536,0,98536,1462280,0,4325880,42560,0,42560,0.34485832124654614,9,0.9850717079530639,0.7433376792698702,0.828878748370218,0.9394524119947623,0.9677444589308907,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,30681,30681,0,0,0,0,0,951485,0,92043,7673,0,7673,0.2500896320198168,0,1.0,0.7957954434337097,0.8839020892406578,0.9862129656790574,0.9982529904501128,True
frame_30,frame_30_0.125,4,True,True,True,5000000,8,5000000,8,5000000,8,False,15340,133806,322140,153400,0,117581,0,117581,1549780,0,4801420,46700,0,46700,0.34901274980195207,10,0.984354628422425,0.7357627118643975,0.8205606258148113,0.9322425032594301,0.9625293350716994,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,30681,92043,30681,0,0,0,0,96934,0,1043154,8383,0,8383,0.2732309898634334,1,1.0,0.795476027508545,0.8835370424690403,0.9859456992926944,0.9980965418337051,True
frame_30,frame_30_0.5,4,True,True,True,5000000,8,5000000,8,5000000,8,False,61363,493846,1165897,552267,0,387745,0,387745,5674330,0,17304366,168961,0,168961,0.3421329726270943,9,0.9831657513485325,0.7449700959862334,0.8299952740252908,0.9397095969884992,0.9674233658719744,True
frame_30,frame_30_0.125,4,True,True,True,5000000,8,5000000,8,5000000,8,False,15340,146069,352820,168740,0,124348,0,124348,1597976,0,5276960,50551,0,50551,0.3460761694815464,11,0.983767926988266,0.7272229465449749,0.8115775749673575,0.9241460234680356,0.956610169491516,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,61362,153405,61362,0,0,0,0,151135,0,1994265,15775,0,15775,0.25708092956552914,2,0.9999674065382484,0.7950523125057749,0.8831133274662697,0.9856262833675283,0.9978879436784948,True
frame_30,frame_30,4,True,True,True,5000000,8,5000000,8,5000000,8,False,122727,122727,122727,0,0,0,0,0,3804843,0,368181,30684,0,30684,0.25001833337407414,0,1.0,0.7956521384875744,0.8839815199598954,0.9859965614739531,0.9983638482159698,True
frame_30,frame_30_0.125,4,True,True,True,5000000,8,5000000,8,5000000,8,False,15340,158722,383500,184080,0,169688,0,169688,2282788,0,5752500,59083,0,59083,0.3722420332405086,12,0.9554758800521512,0.6586179921773477,0.7374185136896958,0.8531942633637308,0.9023207301173228,True
frame_30,frame_30_0.25,4,True,True,True,5000000,8,5000000,8,5000000,8,False,30681,92043,214767,92043,0,0,0,0,231856,0,2945376,23362,0,23362,0.2538161511467466,3,0.9988266353769434,0.7914931064825078,0.8794824158271469,0.9824060493464711,0.9958606303575451,True
